"date","precip","temp","sun"
1961-04-28,10.1484878163793,8.43938604482759,NA
1961-04-29,7.158875,6.86310115431034,NA
1961-04-30,8.97915018965517,5.60837136983621,NA
1961-05-01,0.832381681637931,7.2320425862069,NA
1961-05-02,0.326953162265517,9.83122029482759,NA
1961-05-03,0.680016132413793,9.82954930258621,NA
1961-05-04,0,13.4865676810345,NA
1961-05-05,1.72169918094828,15.0428393189655,NA
1961-05-06,8.47609093189655,11.074982575,NA
1961-05-07,0.00379935710957759,11.7410222784483,NA
1961-05-08,0,10.9806297758621,NA
1961-05-09,2.49571335344828,8.4081832887931,NA
1961-05-10,4.81486569051724,5.14217005200862,NA
1961-05-11,1.69051982465517,4.14314505465517,NA
1961-05-12,0.0256149136070259,6.24722552362069,NA
1961-05-13,0,11.1960491094828,NA
