"","time","runoff"
"301",1923-10-28,2.65
"302",1923-10-29,1.76
"303",1923-10-30,1.54
"304",1923-10-31,1.48
"305",1923-11-01,1.43
"306",1923-11-02,1.32
"307",1923-11-03,1.37
"308",1923-11-04,1.93
"309",1923-11-05,2.31
"310",1923-11-06,2.65
"311",1923-11-07,3.77
"312",1923-11-08,5.4
"313",1923-11-09,4.28
"314",1923-11-10,3.77
"315",1923-11-11,3.14
"316",1923-11-12,4.21
"317",1923-11-13,4.13
"318",1923-11-14,4.06
"319",1923-11-15,4.5
"320",1923-11-16,5.56
"321",1923-11-17,5.71
"322",1923-11-18,5.71
"323",1923-11-19,4.65
"324",1923-11-20,3.77
"325",1923-11-21,3.21
"326",1923-11-22,2.86
"327",1923-11-23,2.65
"328",1923-11-24,2.58
"329",1923-11-25,3.07
"330",1923-11-26,3.84
"331",1923-11-27,3.84
"332",1923-11-28,4.57
"333",1923-11-29,4.8
"334",1923-11-30,4.06
"335",1923-12-01,4.36
"336",1923-12-02,3.99
"337",1923-12-03,3.56
"338",1923-12-04,3.28
"339",1923-12-05,3.35
"340",1923-12-06,2.93
"341",1923-12-07,2.65
"342",1923-12-08,2.51
"343",1923-12-09,2.31
"344",1923-12-10,2.31
"345",1923-12-11,2.17
"346",1923-12-12,2.1
"347",1923-12-13,1.99
"348",1923-12-14,1.93
"349",1923-12-15,2.1
"350",1923-12-16,1.87
"351",1923-12-17,1.87
"352",1923-12-18,1.81
"353",1923-12-19,1.76
"354",1923-12-20,1.76
"355",1923-12-21,1.76
"356",1923-12-22,1.76
"357",1923-12-23,3.92
"358",1923-12-24,5.87
"359",1923-12-25,6.97
"360",1923-12-26,7.61
"361",1923-12-27,6.65
"362",1923-12-28,6.49
"363",1923-12-29,6.33
"364",1923-12-30,5.94
"365",1923-12-31,5.56
"366",1924-01-01,4.58
"367",1924-01-02,3.85
"368",1924-01-03,3.85
"369",1924-01-04,3.71
"370",1924-01-05,3.43
"371",1924-01-06,3.29
"372",1924-01-07,3.16
"373",1924-01-08,2.89
"374",1924-01-09,2.75
"375",1924-01-10,2.62
"376",1924-01-11,2.62
"377",1924-01-12,2.48
"378",1924-01-13,2.35
"379",1924-01-14,2.35
"380",1924-01-15,2.22
"381",1924-01-16,2.1
"382",1924-01-17,2.1
"383",1924-01-18,2.1
"384",1924-01-19,2.48
"385",1924-01-20,4.72
"386",1924-01-21,3.43
"387",1924-01-22,3.16
"388",1924-01-23,3.16
"389",1924-01-24,3.02
"390",1924-01-25,2.75
"391",1924-01-26,2.62
"392",1924-01-27,2.22
"393",1924-01-28,2.35
"394",1924-01-29,2.22
"395",1924-01-30,2.22
"396",1924-01-31,2.1
"397",1924-02-01,1.86
"398",1924-02-02,1.74
"399",1924-02-03,1.74
"400",1924-02-04,1.74
"401",1924-02-05,1.68
"402",1924-02-06,1.68
"403",1924-02-07,1.62
"404",1924-02-08,1.62
"405",1924-02-09,1.5
"406",1924-02-10,1.56
"407",1924-02-11,1.68
"408",1924-02-12,1.62
"409",1924-02-13,1.62
"410",1924-02-14,1.62
"411",1924-02-15,1.5
"412",1924-02-16,1.5
"413",1924-02-17,1.5
"414",1924-02-18,1.5
"415",1924-02-19,1.5
"416",1924-02-20,1.5
"417",1924-02-21,1.5
"418",1924-02-22,1.5
"419",1924-02-23,1.5
"420",1924-02-24,1.38
"421",1924-02-25,1.27
"422",1924-02-26,1.27
"423",1924-02-27,1.27
"424",1924-02-28,1.22
"425",1924-02-29,1.27
"426",1924-03-01,1.33
"427",1924-03-02,1.38
"428",1924-03-03,1.33
"429",1924-03-04,1.33
"430",1924-03-05,1.38
"431",1924-03-06,2.22
"432",1924-03-07,1.98
"433",1924-03-08,1.74
"434",1924-03-09,1.62
"435",1924-03-10,1.5
"436",1924-03-11,1.44
"437",1924-03-12,1.5
"438",1924-03-13,1.56
"439",1924-03-14,1.56
"440",1924-03-15,1.56
"441",1924-03-16,1.74
"442",1924-03-17,1.98
"443",1924-03-18,1.92
"444",1924-03-19,1.86
"445",1924-03-20,1.98
"446",1924-03-21,2.89
"447",1924-03-22,2.75
"448",1924-03-23,3.29
"449",1924-03-24,4.8
"450",1924-03-25,4.43
"451",1924-03-26,3.71
"452",1924-03-27,3.36
"453",1924-03-28,2.89
"454",1924-03-29,2.62
"455",1924-03-30,2.62
"456",1924-03-31,2.42
"457",1924-04-01,2.22
"458",1924-04-02,2.04
"459",1924-04-03,1.98
"460",1924-04-04,1.92
"461",1924-04-05,1.98
"462",1924-04-06,2.62
"463",1924-04-07,2.69
"464",1924-04-08,2.62
"465",1924-04-09,3.16
"466",1924-04-10,2.89
"467",1924-04-11,2.89
"468",1924-04-12,2.82
"469",1924-04-13,3.02
"470",1924-04-14,3.02
"471",1924-04-15,3.09
"472",1924-04-16,3.64
"473",1924-04-17,3.43
"474",1924-04-18,2.62
"475",1924-04-19,2.48
"476",1924-04-20,2.35
"477",1924-04-21,2.48
"478",1924-04-22,3.16
"479",1924-04-23,4.87
"480",1924-04-24,5.02
"481",1924-04-25,4.58
"482",1924-04-26,4.29
"483",1924-04-27,5.17
"484",1924-04-28,5.25
"485",1924-04-29,4.21
"486",1924-04-30,4.8
"487",1924-05-01,5.48
"488",1924-05-02,5.17
"489",1924-05-03,4.07
"490",1924-05-04,4.5
"491",1924-05-05,4.36
"492",1924-05-06,3.71
"493",1924-05-07,4.14
"494",1924-05-08,3.78
"495",1924-05-09,5.02
"496",1924-05-10,4.43
"497",1924-05-11,3.57
"498",1924-05-12,3.43
"499",1924-05-13,3.43
"500",1924-05-14,3.43
"501",1924-05-15,3.57
"502",1924-05-16,4.36
"503",1924-05-17,3.43
"504",1924-05-18,3.29
"505",1924-05-19,3.02
"506",1924-05-20,2.82
"507",1924-05-21,2.82
"508",1924-05-22,3.29
