Tiere - Pferdegattung;389;......0553 Wiggiswil;6;4;3;11;5;15;11;19;23;13
Tiere - Pferdegattung;390;......0557 Zuzwil (BE);23;27;22;13;12;12;13;12;17;16
Tiere - Pferdegattung;391;......0602 Arni (BE);30;21;22;22;37;40;60;61;67;75
Tiere - Pferdegattung;392;......0603 Biglen;57;65;56;45;18;27;17;19;26;37
Tiere - Pferdegattung;393;......0605 Bowil;30;15;18;23;41;34;42;50;78;85
Tiere - Pferdegattung;394;......0606 Brenzikofen;8;2;0;0;0;1;1;5;5;7
Tiere - Pferdegattung;395;......0607 Freimettigen;7;7;6;5;9;13;10;15;14;13
Tiere - Pferdegattung;396;......0608 Grosshöchstetten;36;43;46;29;30;28;29;22;26;15
Tiere - Pferdegattung;397;......0609 Häutligen;17;18;20;15;12;6;7;12;17;24
Tiere - Pferdegattung;398;......0610 Herbligen;29;30;31;8;8;12;6;4;4;9
Tiere - Pferdegattung;399;......0611 Kiesen;40;22;12;13;7;35;9;3;2;4
Tiere - Pferdegattung;400;......0612 Konolfingen;123;75;89;58;61;58;63;53;74;95
Tiere - Pferdegattung;401;......0613 Landiswil;36;31;33;41;33;30;51;50;48;59
Tiere - Pferdegattung;402;......0614 Linden;40;41;68;39;35;24;21;24;44;55
Tiere - Pferdegattung;403;......0615 Mirchel;23;9;7;16;15;16;17;16;18;19
Tiere - Pferdegattung;404;......0616 Münsingen;104;134;171;94;123;97;70;63;78;57
Tiere - Pferdegattung;405;......0617 Niederhünigen;44;52;79;73;57;47;23;22;20;22
Tiere - Pferdegattung;406;......0619 Oberdiessbach;47;48;74;67;76;47;46;42;49;67
Tiere - Pferdegattung;407;......0620 Oberthal;23;29;32;49;53;65;60;68;74;95
Tiere - Pferdegattung;408;......0622 Oppligen;17;17;16;15;18;18;12;3;1;3
Tiere - Pferdegattung;409;......0623 Rubigen;60;59;39;39;41;35;66;61;44;60
Tiere - Pferdegattung;410;......0626 Walkringen;29;22;26;37;46;56;93;97;88;93
Tiere - Pferdegattung;411;......0627 Worb;237;232;222;218;207;151;86;90;79;98
Tiere - Pferdegattung;412;......0628 Zäziwil;4;5;3;16;21;10;17;18;18;27
Tiere - Pferdegattung;413;......0629 Oberhünigen;37;21;23;22;20;31;22;25;26;65
Tiere - Pferdegattung;414;......0630 Allmendingen;40;28;27;17;24;23;0;0;0;0
Tiere - Pferdegattung;415;......0632 Wichtrach;66;77;81;51;36;30;25;23;23;26
Tiere - Pferdegattung;416;......0662 Ferenbalm;70;50;41;37;22;29;17;22;18;28
Tiere - Pferdegattung;417;......0663 Frauenkappelen;42;104;90;64;53;57;35;21;24;37
Tiere - Pferdegattung;418;......0665 Gurbrü;40;44;43;41;20;14;10;4;11;13
Tiere - Pferdegattung;419;......0666 Kriechenwil;19;16;20;19;14;9;21;18;24;32
Tiere - Pferdegattung;420;......0667 Laupen;0;0;0;0;0;1;3;2;6;6
Tiere - Pferdegattung;421;......0668 Mühleberg;70;101;82;70;74;93;75;69;80;104
Tiere - Pferdegattung;422;......0669 Münchenwiler;57;34;48;58;43;22;13;15;11;15
Tiere - Pferdegattung;423;......0670 Neuenegg;118;128;147;176;179;137;103;66;84;77
Tiere - Pferdegattung;424;......0671 Wileroltigen;23;21;20;24;29;33;28;27;10;13
Tiere - Pferdegattung;425;......0852 Guggisberg;128;166;183;169;144;147;104;119;135;158
Tiere - Pferdegattung;426;......0853 Rüschegg;75;93;115;90;68;70;85;70;47;77
Tiere - Pferdegattung;427;......0855 Schwarzenburg;296;256;260;277;242;248;207;216;216;300
Tiere - Pferdegattung;428;......0861 Belp;121;111;116;92;70;82;81;88;89;86
Tiere - Pferdegattung;429;......0866 Gerzensee;83;71;70;69;30;35;35;28;40;53
Tiere - Pferdegattung;430;......0868 Jaberg;27;4;2;2;3;6;3;7;7;12
Tiere - Pferdegattung;431;......0869 Kaufdorf;4;3;12;15;16;15;21;27;19;20
Tiere - Pferdegattung;432;......0870 Kehrsatz;24;24;29;24;41;36;26;26;17;19
Tiere - Pferdegattung;433;......0872 Kirchdorf (BE);85;83;56;60;68;69;68;74;85;86
Tiere - Pferdegattung;434;......0877 Niedermuhlern;17;15;29;26;29;31;54;45;56;61
Tiere - Pferdegattung;435;......0879 Riggisberg;146;111;91;88;97;105;103;96;106;154
Tiere - Pferdegattung;436;......0880 Rüeggisberg;126;115;175;156;180;211;195;206;203;219
Tiere - Pferdegattung;437;......0884 Toffen;18;10;10;10;11;15;16;17;14;13
Tiere - Pferdegattung;438;......0888 Wald (BE);72;64;62;66;85;68;66;72;83;108
Tiere - Pferdegattung;439;......0889 Thurnen;36;31;33;39;51;41;11;21;21;32
Tiere - Pferdegattung;440;>> Verwaltungskreis Thun;970;861;993;915;866;864;766;822;778;955
Tiere - Pferdegattung;441;......0767 Reutigen;5;11;9;9;7;4;1;2;4;6
Tiere - Pferdegattung;442;......0770 Stocken-Höfen;61;63;73;63;30;30;25;21;35;23
Tiere - Pferdegattung;443;......0863 Burgistein;25;21;21;31;24;32;25;31;32;43
Tiere - Pferdegattung;444;......0867 Gurzelen;31;49;33;28;26;35;45;50;51;58
Tiere - Pferdegattung;445;......0883 Seftigen;11;12;17;10;20;19;30;16;16;22
Tiere - Pferdegattung;446;......0885 Uttigen;59;38;131;53;36;32;23;19;19;17
Tiere - Pferdegattung;447;......0886 Wattenwil;33;9;8;9;16;16;19;19;28;48
Tiere - Pferdegattung;448;......0921 Amsoldingen;18;11;3;3;6;6;7;11;12;18
Tiere - Pferdegattung;449;......0922 Blumenstein;23;11;17;24;25;21;10;11;16;30
Tiere - Pferdegattung;450;......0923 Buchholterberg;38;30;41;64;59;52;50;56;64;85
Tiere - Pferdegattung;451;......0924 Eriz;30;34;31;30;18;13;9;11;7;10
Tiere - Pferdegattung;452;......0925 Fahrni;67;65;78;57;47;43;51;53;49;47
Tiere - Pferdegattung;453;......0927 Heiligenschwendi;23;25;25;23;23;20;22;12;21;19
Tiere - Pferdegattung;454;......0928 Heimberg;25;21;27;21;19;23;8;17;10;11
Tiere - Pferdegattung;455;......0929 Hilterfingen;0;0;0;0;0;0;0;1;1;1
Tiere - Pferdegattung;456;......0931 Homberg;13;6;11;14;22;23;26;29;34;39
Tiere - Pferdegattung;457;......0932 Horrenbach-Buchen;26;19;9;11;15;21;18;18;17;19
Tiere - Pferdegattung;458;......0934 Oberhofen am Thunersee;0;0;2;3;6;4;5;2;5;3
Tiere - Pferdegattung;459;......0935 Oberlangenegg;7;12;25;18;21;17;20;32;29;35
Tiere - Pferdegattung;460;......0936 Pohlern;6;9;9;13;12;12;7;8;7;8
Tiere - Pferdegattung;461;......0938 Sigriswil;32;21;18;13;16;19;24;23;22;33
Tiere - Pferdegattung;462;......0939 Steffisburg;56;36;53;74;76;87;108;121;97;113
Tiere - Pferdegattung;463;......0940 Teuffenthal (BE);6;11;12;8;9;3;3;6;6;9
Tiere - Pferdegattung;464;......0941 Thierachern;57;44;43;51;44;27;17;23;19;28
Tiere - Pferdegattung;465;......0942 Thun;48;48;46;68;65;40;60;91;27;53
Tiere - Pferdegattung;466;......0943 Uebeschi;51;51;38;43;65;104;40;32;34;42
Tiere - Pferdegattung;467;......0944 Uetendorf;94;90;98;64;49;28;27;38;37;46
Tiere - Pferdegattung;468;......0945 Unterlangenegg;62;44;64;58;61;71;42;31;34;26
Tiere - Pferdegattung;469;......0946 Wachseldorn;35;31;32;33;28;26;16;13;14;16
Tiere - Pferdegattung;470;......0947 Zwieselberg;3;7;6;2;5;8;2;1;5;9
Tiere - Pferdegattung;471;......0948 Forst-Längenbühl;25;32;13;17;16;28;26;24;26;38
Tiere - Pferdegattung;472;>> Verwaltungskreis Obersimmental-Saanen;243;246;274;241;205;196;127;140;145;176
Tiere - Pferdegattung;473;......0791 Boltigen;33;40;33;39;23;32;11;10;24;27
Tiere - Pferdegattung;474;......0792 Lenk;39;47;26;23;27;26;13;12;13;13
Tiere - Pferdegattung;475;......0793 St. Stephan;35;23;26;59;54;31;8;11;11;12
Tiere - Pferdegattung;476;......0794 Zweisimmen;46;48;71;39;30;28;26;20;16;21
Tiere - Pferdegattung;477;......0841 Gsteig;2;2;7;6;6;7;5;5;5;8
Tiere - Pferdegattung;478;......0842 Lauenen;22;20;33;21;18;17;20;15;17;17
Tiere - Pferdegattung;479;......0843 Saanen;66;66;78;54;47;55;44;67;59;78
Tiere - Pferdegattung;480;>> Verwaltungskreis Frutigen-Niedersimmental;471;429;521;448;442;427;277;224;266;221
Tiere - Pferdegattung;481;......0561 Adelboden;12;7;30;29;31;8;14;12;9;4
Tiere - Pferdegattung;482;......0562 Aeschi bei Spiez;50;43;52;61;66;47;22;15;20;22
Tiere - Pferdegattung;483;......0563 Frutigen;126;121;151;84;49;59;11;11;16;13
Tiere - Pferdegattung;484;......0564 Kandergrund;11;10;7;7;6;13;22;13;5;8
Tiere - Pferdegattung;485;......0565 Kandersteg;4;6;2;6;2;5;16;7;11;9
Tiere - Pferdegattung;486;......0566 Krattigen;3;3;3;4;3;5;4;7;3;4
Tiere - Pferdegattung;487;......0567 Reichenbach im Kandertal;65;51;44;41;38;33;30;21;15;27
Tiere - Pferdegattung;488;......0761 Därstetten;3;2;7;11;7;10;4;10;10;15
Tiere - Pferdegattung;489;......0762 Diemtigen;53;59;65;58;50;32;17;36;39;22
Tiere - Pferdegattung;490;......0763 Erlenbach im Simmental;21;18;37;36;37;32;31;19;21;23
Tiere - Pferdegattung;491;......0766 Oberwil im Simmental;14;18;12;16;15;13;12;15;19;19
Tiere - Pferdegattung;492;......0768 Spiez;45;35;68;53;92;120;57;36;61;35
Tiere - Pferdegattung;493;......0769 Wimmis;64;56;43;42;46;50;37;22;37;20
Tiere - Schafe;366;......0307 Meikirch;650;289;278;359;191;121;65;56;70;66
Tiere - Schafe;367;......0351 Bern;358;356;659;549;414;515;433;645;728;809
Tiere - Schafe;368;......0352 Bolligen;309;303;380;404;149;121;195;190;263;0
Tiere - Schafe;369;......0353 Bremgarten bei Bern;87;0;88;86;78;148;89;31;40;41
Tiere - Schafe;370;......0354 Kirchlindach;39;116;184;159;194;273;199;129;171;187
Tiere - Schafe;371;......0355 Köniz;479;469;648;751;813;954;565;397;378;352
Tiere - Schafe;372;......0356 Muri bei Bern;8;0;3;23;6;0;40;52;74;66
Tiere - Schafe;373;......0357 Oberbalm;202;312;392;378;241;223;263;188;135;133
Tiere - Schafe;374;......0358 Stettlen;0;32;10;3;9;11;56;57;47;22
Tiere - Schafe;375;......0359 Vechigen;645;660;948;745;639;611;376;256;204;423
Tiere - Schafe;376;......0360 Wohlen bei Bern;486;370;433;330;628;282;274;290;264;237
Tiere - Schafe;377;......0361 Zollikofen;0;83;0;102;25;104;93;167;163;121
Tiere - Schafe;378;......0362 Ittigen;25;72;89;72;182;81;71;16;0;0
Tiere - Schafe;379;......0363 Ostermundigen;147;194;260;162;161;107;17;44;0;300
Tiere - Schafe;380;......0403 Bäriswil;0;0;0;0;2;45;29;13;18;23
Tiere - Schafe;381;......0535 Deisswil bei Münchenbuchsee;0;0;0;14;24;19;21;18;17;7
Tiere - Schafe;382;......0538 Fraubrunnen;132;339;282;429;119;156;77;162;71;30
Tiere - Schafe;383;......0540 Jegenstorf;31;35;60;74;179;79;49;60;61;65
Tiere - Schafe;384;......0541 Iffwil;20;2;36;5;3;4;16;21;17;34
Tiere - Schafe;385;......0543 Mattstetten;0;4;10;6;21;9;8;7;9;12
Tiere - Schafe;386;......0544 Moosseedorf;0;0;20;15;11;20;13;18;32;29
Tiere - Schafe;387;......0546 Münchenbuchsee;4;13;28;8;20;81;66;78;126;108
Tiere - Schafe;388;......0551 Urtenen-Schönbühl;25;0;10;15;13;53;12;8;4;22
Tiere - Schafe;389;......0553 Wiggiswil;0;0;0;0;0;11;12;2;0;8
Tiere - Schafe;390;......0557 Zuzwil (BE);0;14;108;6;4;41;48;28;29;38
Tiere - Schafe;391;......0602 Arni (BE);89;141;131;127;117;159;62;82;62;40
Tiere - Schafe;392;......0603 Biglen;346;285;223;114;119;47;75;37;43;22
Tiere - Schafe;393;......0605 Bowil;205;225;136;152;245;375;346;283;243;181
Tiere - Schafe;394;......0606 Brenzikofen;0;0;0;0;0;10;13;10;0;11
Tiere - Schafe;395;......0607 Freimettigen;4;30;43;40;26;17;49;36;17;15
Tiere - Schafe;396;......0608 Grosshöchstetten;98;55;83;78;116;198;78;146;50;58
Tiere - Schafe;397;......0609 Häutligen;86;58;8;24;24;72;19;39;43;34
Tiere - Schafe;398;......0610 Herbligen;32;27;38;96;85;58;18;26;2;10
Tiere - Schafe;399;......0611 Kiesen;0;0;0;0;0;0;0;0;12;0
Tiere - Schafe;400;......0612 Konolfingen;267;223;221;296;167;305;243;207;195;221
Tiere - Schafe;401;......0613 Landiswil;192;207;187;211;63;77;175;58;33;28
Tiere - Schafe;402;......0614 Linden;315;452;521;647;503;467;397;262;140;159
Tiere - Schafe;403;......0615 Mirchel;15;28;42;105;112;27;17;11;7;9
Tiere - Schafe;404;......0616 Münsingen;54;58;68;50;110;172;180;165;135;105
Tiere - Schafe;405;......0617 Niederhünigen;43;35;29;39;68;14;24;37;37;26
