LN - Dauerkulturen (in ha);459;......0935 Oberlangenegg;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);460;......0936 Pohlern;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);461;......0938 Sigriswil;2;2;2;1;1;0;0;2
LN - Dauerkulturen (in ha);462;......0939 Steffisburg;4;6;9;9;9;11;10;13
LN - Dauerkulturen (in ha);463;......0940 Teuffenthal (BE);0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);464;......0941 Thierachern;0;0;0;0;0;2;1;0
LN - Dauerkulturen (in ha);465;......0942 Thun;1;1;1;1;5;2;2;6
LN - Dauerkulturen (in ha);466;......0943 Uebeschi;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);467;......0944 Uetendorf;2;3;3;3;3;3;3;1
LN - Dauerkulturen (in ha);468;......0945 Unterlangenegg;0;0;0;0;1;0;0;0
LN - Dauerkulturen (in ha);469;......0946 Wachseldorn;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);470;......0947 Zwieselberg;0;0;0;0;0;1;1;1
LN - Dauerkulturen (in ha);471;......0948 Forst-Längenbühl;1;1;1;1;1;1;1;0
LN - Grünfläche (in ha);365;>> Verwaltungskreis Bern-Mittelland;31678;32232;32548;32072;30759;30835;30399;31936
LN - Grünfläche (in ha);366;......0307 Meikirch;305;307;284;288;278;297;292;327
LN - Grünfläche (in ha);367;......0351 Bern;434;465;504;491;439;495;436;541
LN - Grünfläche (in ha);368;......0352 Bolligen;434;456;446;437;416;461;456;636
LN - Grünfläche (in ha);369;......0353 Bremgarten bei Bern;33;35;31;38;35;30;34;40
LN - Grünfläche (in ha);370;......0354 Kirchlindach;464;471;464;427;349;350;322;382
LN - Grünfläche (in ha);371;......0355 Köniz;1584;1700;1704;1681;1552;1506;1481;1609
LN - Grünfläche (in ha);372;......0356 Muri bei Bern;57;56;76;75;83;102;100;123
LN - Grünfläche (in ha);373;......0357 Oberbalm;792;799;810;790;745;730;694;709
LN - Grünfläche (in ha);374;......0358 Stettlen;117;118;123;110;104;105;113;125
LN - Grünfläche (in ha);375;......0359 Vechigen;997;1039;1044;1059;1030;1050;1056;1054
LN - Grünfläche (in ha);376;......0360 Wohlen bei Bern;872;866;896;925;846;889;880;1010
LN - Grünfläche (in ha);377;......0361 Zollikofen;177;179;177;126;123;134;99;130
LN - Grünfläche (in ha);378;......0362 Ittigen;54;58;54;52;60;51;56;0
LN - Grünfläche (in ha);379;......0363 Ostermundigen;81;85;88;85;76;77;59;0
LN - Grünfläche (in ha);380;......0403 Bäriswil;40;41;43;42;39;53;55;59
LN - Grünfläche (in ha);381;......0535 Deisswil bei Münchenbuchsee;51;50;46;53;56;52;50;52
LN - Grünfläche (in ha);382;......0538 Fraubrunnen;628;637;678;660;632;658;676;715
LN - Grünfläche (in ha);383;......0540 Jegenstorf;272;276;282;290;269;302;284;311
LN - Grünfläche (in ha);384;......0541 Iffwil;102;110;101;103;92;82;89;106
LN - Grünfläche (in ha);385;......0543 Mattstetten;43;43;34;37;42;55;77;88
LN - Grünfläche (in ha);386;......0544 Moosseedorf;69;70;93;78;72;91;102;126
LN - Grünfläche (in ha);387;......0546 Münchenbuchsee;179;190;182;167;185;196;238;231
LN - Grünfläche (in ha);388;......0551 Urtenen-Schönbühl;93;92;82;94;96;107;145;160
LN - Grünfläche (in ha);389;......0553 Wiggiswil;41;44;54;52;47;38;38;49
LN - Grünfläche (in ha);390;......0557 Zuzwil (BE);68;67;72;83;80;83;77;88
LN - Grünfläche (in ha);391;......0602 Arni (BE);623;627;638;583;575;563;537;544
LN - Grünfläche (in ha);392;......0603 Biglen;161;157;161;155;160;171;155;178
LN - Grünfläche (in ha);393;......0605 Bowil;671;683;699;678;655;647;695;709
LN - Grünfläche (in ha);394;......0606 Brenzikofen;102;101;89;81;65;70;84;79
LN - Grünfläche (in ha);395;......0607 Freimettigen;106;111;121;116;126;137;135;147
LN - Grünfläche (in ha);396;......0608 Grosshöchstetten;286;308;330;323;298;299;290;314
LN - Grünfläche (in ha);397;......0609 Häutligen;137;138;133;137;131;116;119;143
LN - Grünfläche (in ha);398;......0610 Herbligen;108;108;127;114;122;118;106;117
LN - Grünfläche (in ha);399;......0611 Kiesen;74;75;94;86;92;97;90;103
LN - Grünfläche (in ha);400;......0612 Konolfingen;646;649;628;614;577;602;581;599
LN - Grünfläche (in ha);401;......0613 Landiswil;695;682;635;642;614;595;552;539
LN - Grünfläche (in ha);402;......0614 Linden;744;754;747;767;757;805;775;692
LN - Grünfläche (in ha);403;......0615 Mirchel;171;166;151;145;141;140;123;136
LN - Grünfläche (in ha);404;......0616 Münsingen;465;461;498;521;446;467;342;354
LN - Grünfläche (in ha);405;......0617 Niederhünigen;156;164;181;182;166;166;154;170
LN - Grünfläche (in ha);406;......0619 Oberdiessbach;600;615;661;618;646;625;619;626
LN - Grünfläche (in ha);407;......0620 Oberthal;667;671;688;662;643;648;598;597
LN - Grünfläche (in ha);408;......0622 Oppligen;90;96;93;96;84;89;84;93
LN - Grünfläche (in ha);409;......0623 Rubigen;222;215;206;203;183;171;423;419
LN - Grünfläche (in ha);410;......0626 Walkringen;823;821;833;822;767;742;748;721
LN - Grünfläche (in ha);411;......0627 Worb;777;807;800;826;763;751;708;799
LN - Grünfläche (in ha);412;......0628 Zäziwil;302;301;301;294;278;277;305;281
LN - Grünfläche (in ha);413;......0629 Oberhünigen;191;185;190;202;190;177;237;207
LN - Grünfläche (in ha);414;......0630 Allmendingen;167;171;150;157;139;134;0;0
LN - Grünfläche (in ha);415;......0632 Wichtrach;268;277;340;351;322;315;297;331
LN - Grünfläche (in ha);416;......0662 Ferenbalm;279;269;276;282;266;253;256;294
LN - Grünfläche (in ha);417;......0663 Frauenkappelen;164;167;198;212;191;185;184;203
LN - Grünfläche (in ha);418;......0665 Gurbrü;91;79;84;87;76;86;65;72
